Scenario,Date,Hour,DailyMeanUsed_EUR_MWh,Price_EUR_MWh,Class,Source,Real
MED,2025-12-25,9,63.635925,"55,5242575914984",DOM_INV,BLEND_w=0.30_baseline=p50,"37,7"
MED,2025-12-25,10,63.635925,"58,297622389674",DOM_INV,BLEND_w=0.30_baseline=p50,"33,01"
MED,2025-12-25,11,63.635925,"57,9518068411577",DOM_INV,BLEND_w=0.30_baseline=p50,"24,08"
MED,2025-12-25,12,63.635925,"55,6165742905839",DOM_INV,BLEND_w=0.30_baseline=p50,"45,08"
MED,2025-12-25,13,63.635925,"53,6399144761102",DOM_INV,BLEND_w=0.30_baseline=p50,35
MED,2025-12-25,14,63.635925,"54,2365250594932",DOM_INV,BLEND_w=0.30_baseline=p50,"19,71"
MED,2025-12-25,15,63.635925,"52,5360489201937",DOM_INV,BLEND_w=0.30_baseline=p50,"10,94"
MED,2025-12-25,16,63.635925,"49,5584981309975",DOM_INV,BLEND_w=0.30_baseline=p50,"3,6"
MED,2025-12-25,17,63.635925,"54,9624720056306",DOM_INV,BLEND_w=0.30_baseline=p50,"20,2"
MED,2025-12-25,18,63.635925,"69,1741104342091",DOM_INV,BLEND_w=0.30_baseline=p50,30
MED,2025-12-25,19,63.635925,"82,3013239789269",DOM_INV,BLEND_w=0.30_baseline=p50,"76,8"
MED,2025-12-25,20,63.635925,"91,6048296723784",DOM_INV,BLEND_w=0.30_baseline=p50,91
MED,2025-12-25,21,63.635925,"98,136321766962",DOM_INV,BLEND_w=0.30_baseline=p50,"96,37"
MED,2025-12-25,22,63.635925,"95,4722562183944",DOM_INV,BLEND_w=0.30_baseline=p50,"87,38"
MED,2025-12-25,23,63.635925,"85,1788556576771",DOM_INV,BLEND_w=0.30_baseline=p50,"86,5"
MED,2025-12-25,24,63.635925,"76,1231186139084",DOM_INV,BLEND_w=0.30_baseline=p50,"77,35"
MED,2025-12-26,1,62.4025,"56,3356966986272",LAB_INV,BLEND_w=0.00_baseline=p50,"41,18"
MED,2025-12-26,2,62.4025,"51,0270479663351",LAB_INV,BLEND_w=0.00_baseline=p50,"35,2"
MED,2025-12-26,3,62.4025,"47,1559962053647",LAB_INV,BLEND_w=0.00_baseline=p50,"29,7"
MED,2025-12-26,4,62.4025,"44,8830500217427",LAB_INV,BLEND_w=0.00_baseline=p50,"29,03"
MED,2025-12-26,5,62.4025,"44,0914209258207",LAB_INV,BLEND_w=0.00_baseline=p50,"26,21"
MED,2025-12-26,6,62.4025,"46,9684858260061",LAB_INV,BLEND_w=0.00_baseline=p50,"25,95"
MED,2025-12-26,7,62.4025,"54,7151570060908",LAB_INV,BLEND_w=0.00_baseline=p50,"26,21"
MED,2025-12-26,8,62.4025,"65,7656456375403",LAB_INV,BLEND_w=0.00_baseline=p50,"29,03"
MED,2025-12-26,9,62.4025,"71,8554413275003",LAB_INV,BLEND_w=0.00_baseline=p50,"29,54"
MED,2025-12-26,10,62.4025,"71,5750563398729",LAB_INV,BLEND_w=0.00_baseline=p50,"26,21"
MED,2025-12-26,11,62.4025,"67,2127069878079",LAB_INV,BLEND_w=0.00_baseline=p50,"25,95"
MED,2025-12-26,12,62.4025,"63,2741946314124",LAB_INV,BLEND_w=0.00_baseline=p50,"24,99"
MED,2025-12-26,13,62.4025,"61,1567207543422",LAB_INV,BLEND_w=0.00_baseline=p50,"9,89"
MED,2025-12-26,14,62.4025,"59,8425995709341",LAB_INV,BLEND_w=0.00_baseline=p50,"7,19"
MED,2025-12-26,15,62.4025,"58,0593177954935",LAB_INV,BLEND_w=0.00_baseline=p50,"6,99"
MED,2025-12-26,16,62.4025,"57,8251312432966",LAB_INV,BLEND_w=0.00_baseline=p50,"6,93"
MED,2025-12-26,17,62.4025,"60,8891810765296",LAB_INV,BLEND_w=0.00_baseline=p50,"13,45"
MED,2025-12-26,18,62.4025,"68,0552938581521",LAB_INV,BLEND_w=0.00_baseline=p50,"25,2"
MED,2025-12-26,19,62.4025,"75,1908472327363",LAB_INV,BLEND_w=0.00_baseline=p50,"39,4"
MED,2025-12-26,20,62.4025,"80,800932796808",LAB_INV,BLEND_w=0.00_baseline=p50,"44,38"
MED,2025-12-26,21,62.4025,"80,9057055121481",LAB_INV,BLEND_w=0.00_baseline=p50,"39,06"
MED,2025-12-26,22,62.4025,"75,2227192977156",LAB_INV,BLEND_w=0.00_baseline=p50,"33,78"
MED,2025-12-26,23,62.4025,"67,8730523989015",LAB_INV,BLEND_w=0.00_baseline=p50,"32,35"
MED,2025-12-26,24,62.4025,"60,9162475394906",LAB_INV,BLEND_w=0.00_baseline=p50,"26,32"
MED,2025-12-27,1,55.092083333333335,"59,8851544552799",SAT_INV,BLEND_w=0.00_baseline=p50,12
MED,2025-12-27,2,55.092083333333335,"53,9241124306176",SAT_INV,BLEND_w=0.00_baseline=p50,"3,52"
MED,2025-12-27,3,55.092083333333335,"48,801603231062",SAT_INV,BLEND_w=0.00_baseline=p50,"3,52"
MED,2025-12-27,4,55.092083333333335,"46,0300014653219",SAT_INV,BLEND_w=0.00_baseline=p50,"3,52"
MED,2025-12-27,5,55.092083333333335,"44,1720046433448",SAT_INV,BLEND_w=0.00_baseline=p50,"0,65"
MED,2025-12-27,6,55.092083333333335,"43,8887261213575",SAT_INV,BLEND_w=0.00_baseline=p50,"3,52"
MED,2025-12-27,7,55.092083333333335,"46,0087001370249",SAT_INV,BLEND_w=0.00_baseline=p50,"6,99"
MED,2025-12-27,8,55.092083333333335,"49,3656066497913",SAT_INV,BLEND_w=0.00_baseline=p50,"30,98"
MED,2025-12-27,9,55.092083333333335,"53,2566540449398",SAT_INV,BLEND_w=0.00_baseline=p50,"35,55"
MED,2025-12-27,10,55.092083333333335,"56,6136662575476",SAT_INV,BLEND_w=0.00_baseline=p50,"39,83"
MED,2025-12-27,11,55.092083333333335,"55,7475950393855",SAT_INV,BLEND_w=0.00_baseline=p50,"35,72"
MED,2025-12-27,12,55.092083333333335,"51,1006321492188",SAT_INV,BLEND_w=0.00_baseline=p50,"26,23"
MED,2025-12-27,13,55.092083333333335,"48,3229390802563",SAT_INV,BLEND_w=0.00_baseline=p50,"14,53"
MED,2025-12-27,14,55.092083333333335,"47,5450232889317",SAT_INV,BLEND_w=0.00_baseline=p50,"4,31"
MED,2025-12-27,15,55.092083333333335,"46,1544098456145",SAT_INV,BLEND_w=0.00_baseline=p50,"3,6"
MED,2025-12-27,16,55.092083333333335,"44,8460877514518",SAT_INV,BLEND_w=0.00_baseline=p50,5
MED,2025-12-27,17,55.092083333333335,"47,9129014595577",SAT_INV,BLEND_w=0.00_baseline=p50,14
MED,2025-12-27,18,55.092083333333335,"55,6518749894175",SAT_INV,BLEND_w=0.00_baseline=p50,32
MED,2025-12-27,19,55.092083333333335,"65,9621544997725",SAT_INV,BLEND_w=0.00_baseline=p50,"40,78"
MED,2025-12-27,20,55.092083333333335,"73,9368509045538",SAT_INV,BLEND_w=0.00_baseline=p50,"53,37"
MED,2025-12-27,21,55.092083333333335,"76,982350013866",SAT_INV,BLEND_w=0.00_baseline=p50,"40,9"
MED,2025-12-27,22,55.092083333333335,"71,1409399839391",SAT_INV,BLEND_w=0.00_baseline=p50,"37,68"
MED,2025-12-27,23,55.092083333333335,"63,8830364076044",SAT_INV,BLEND_w=0.00_baseline=p50,32
MED,2025-12-27,24,55.092083333333335,"58,5774471188231",SAT_INV,BLEND_w=0.00_baseline=p50,"26,23"
MED,2025-12-28,1,53.92875,"58,4037140256723",DOM_INV,BLEND_w=0.00_baseline=p50,"3,52"
MED,2025-12-28,2,53.92875,"50,7218555785673",DOM_INV,BLEND_w=0.00_baseline=p50,2
MED,2025-12-28,3,53.92875,"46,129126706697",DOM_INV,BLEND_w=0.00_baseline=p50,"0,65"
MED,2025-12-28,4,53.92875,"41,8159275718764",DOM_INV,BLEND_w=0.00_baseline=p50,"0,66"
MED,2025-12-28,5,53.92875,"40,1062823450851",DOM_INV,BLEND_w=0.00_baseline=p50,"0,65"
MED,2025-12-28,6,53.92875,"39,7919598150161",DOM_INV,BLEND_w=0.00_baseline=p50,"0,65"
MED,2025-12-28,7,53.92875,"40,8704399426115",DOM_INV,BLEND_w=0.00_baseline=p50,"3,52"
MED,2025-12-28,8,53.92875,"43,78648278101",DOM_INV,BLEND_w=0.00_baseline=p50,14
MED,2025-12-28,9,53.92875,"47,0544555860156",DOM_INV,BLEND_w=0.00_baseline=p50,"28,68"
MED,2025-12-28,10,53.92875,"49,4047647370119",DOM_INV,BLEND_w=0.00_baseline=p50,"23,54"
MED,2025-12-28,11,53.92875,"49,1117007128455",DOM_INV,BLEND_w=0.00_baseline=p50,"3,52"
MED,2025-12-28,12,53.92875,"47,132690076766",DOM_INV,BLEND_w=0.00_baseline=p50,2
MED,2025-12-28,13,53.92875,"45,4575546407714",DOM_INV,BLEND_w=0.00_baseline=p50,"0,65"
MED,2025-12-28,14,53.92875,"45,963156830079",DOM_INV,BLEND_w=0.00_baseline=p50,"0,65"
MED,2025-12-28,15,53.92875,"44,5220753560963",DOM_INV,BLEND_w=0.00_baseline=p50,"0,65"
MED,2025-12-28,16,53.92875,"41,9987272296589",DOM_INV,BLEND_w=0.00_baseline=p50,"0,65"
MED,2025-12-28,17,53.92875,"46,5783661064666",DOM_INV,BLEND_w=0.00_baseline=p50,"3,52"
MED,2025-12-28,18,53.92875,"58,6221274866179",DOM_INV,BLEND_w=0.00_baseline=p50,14
MED,2025-12-28,19,53.92875,"69,7468847279042",DOM_INV,BLEND_w=0.00_baseline=p50,"51,32"
MED,2025-12-28,20,53.92875,"77,6312115867613",DOM_INV,BLEND_w=0.00_baseline=p50,"69,5"
MED,2025-12-28,21,53.92875,"83,1663743787813",DOM_INV,BLEND_w=0.00_baseline=p50,60
MED,2025-12-28,22,53.92875,"80,9086917105038",DOM_INV,BLEND_w=0.00_baseline=p50,"48,03"
MED,2025-12-28,23,53.92875,"72,1854708963365",DOM_INV,BLEND_w=0.00_baseline=p50,"34,22"
MED,2025-12-28,24,53.92875,"64,5111174694139",DOM_INV,BLEND_w=0.00_baseline=p50,"26,28"
MED,2025-12-29,1,62.4025,"56,3356966986272",LAB_INV,BLEND_w=0.00_baseline=p50,"17,47"
MED,2025-12-29,2,62.4025,"51,0270479663351",LAB_INV,BLEND_w=0.00_baseline=p50,"7,4"
MED,2025-12-29,3,62.4025,"47,1559962053647",LAB_INV,BLEND_w=0.00_baseline=p50,"3,52"
MED,2025-12-29,4,62.4025,"44,8830500217427",LAB_INV,BLEND_w=0.00_baseline=p50,"3,52"
MED,2025-12-29,5,62.4025,"44,0914209258207",LAB_INV,BLEND_w=0.00_baseline=p50,"3,52"
MED,2025-12-29,6,62.4025,"46,9684858260061",LAB_INV,BLEND_w=0.00_baseline=p50,"3,52"
MED,2025-12-29,7,62.4025,"54,7151570060908",LAB_INV,BLEND_w=0.00_baseline=p50,"38,16"
MED,2025-12-29,8,62.4025,"65,7656456375403",LAB_INV,BLEND_w=0.00_baseline=p50,"67,11"
MED,2025-12-29,9,62.4025,"71,8554413275003",LAB_INV,BLEND_w=0.00_baseline=p50,"77,51"
MED,2025-12-29,10,62.4025,"71,5750563398729",LAB_INV,BLEND_w=0.00_baseline=p50,"69,2"
MED,2025-12-29,11,62.4025,"67,2127069878079",LAB_INV,BLEND_w=0.00_baseline=p50,45
MED,2025-12-29,12,62.4025,"63,2741946314124",LAB_INV,BLEND_w=0.00_baseline=p50,"46,02"
MED,2025-12-29,13,62.4025,"61,1567207543422",LAB_INV,BLEND_w=0.00_baseline=p50,"29,9"
MED,2025-12-29,14,62.4025,"59,8425995709341",LAB_INV,BLEND_w=0.00_baseline=p50,"10,21"
MED,2025-12-29,15,62.4025,"58,0593177954935",LAB_INV,BLEND_w=0.00_baseline=p50,"9,23"
MED,2025-12-29,16,62.4025,"57,8251312432966",LAB_INV,BLEND_w=0.00_baseline=p50,"12,18"
MED,2025-12-29,17,62.4025,"60,8891810765296",LAB_INV,BLEND_w=0.00_baseline=p50,"36,66"
MED,2025-12-29,18,62.4025,"68,0552938581521",LAB_INV,BLEND_w=0.00_baseline=p50,"50,1"
MED,2025-12-29,19,62.4025,"75,1908472327363",LAB_INV,BLEND_w=0.00_baseline=p50,"83,06"
MED,2025-12-29,20,62.4025,"80,800932796808",LAB_INV,BLEND_w=0.00_baseline=p50,"119,41"
MED,2025-12-29,21,62.4025,"80,9057055121481",LAB_INV,BLEND_w=0.00_baseline=p50,"133,85"
MED,2025-12-29,22,62.4025,"75,2227192977156",LAB_INV,BLEND_w=0.00_baseline=p50,"118,57"
MED,2025-12-29,23,62.4025,"67,8730523989015",LAB_INV,BLEND_w=0.00_baseline=p50,"94,67"
MED,2025-12-29,24,62.4025,"60,9162475394906",LAB_INV,BLEND_w=0.00_baseline=p50,"51,08"
