Year,Month,Day,Hour,Value
2024,12,31,24,139.37
2025,01,01,1,134.49
2025,01,01,2,131.59
2025,01,01,3,131.49
2025,01,01,4,131.42
2025,01,01,5,120.49
2025,01,01,6,112.3
2025,01,01,7,112.3
2025,01,01,8,111.88
2025,01,01,9,112.09
2025,01,01,10,94.99
2025,01,01,11,50.01
2025,01,01,12,20.59
2025,01,01,13,28.11
2025,01,01,14,40.63
2025,01,01,15,30.6
2025,01,01,16,40.63
2025,01,01,17,72
2025,01,01,18,125.49
2025,01,01,19,149.72
2025,01,01,20,150.67
2025,01,01,21,152.99
2025,01,01,22,151.69
2025,01,01,23,147.75
2025,01,01,24,133.06
2025,01,02,1,137.12
2025,01,02,2,123.03
2025,01,02,3,102.3
2025,01,02,4,102.09
2025,01,02,5,102.09
2025,01,02,6,101.88
2025,01,02,7,128.44
2025,01,02,8,143.96
2025,01,02,9,152.92
2025,01,02,10,152.16
2025,01,02,11,129.04
2025,01,02,12,125.7
2025,01,02,13,125.72
2025,01,02,14,119.3
2025,01,02,15,124.65
2025,01,02,16,130.11
2025,01,02,17,139.5
2025,01,02,18,153.4
2025,01,02,19,159.18
2025,01,02,20,160.99
2025,01,02,21,161.1
2025,01,02,22,157.88
2025,01,02,23,152.44
2025,01,02,24,140
2025,01,03,1,121.52
2025,01,03,2,105.88
2025,01,03,3,93.94
2025,01,03,4,91.1
2025,01,03,5,90.01
2025,01,03,6,92.25
2025,01,03,7,100.14
2025,01,03,8,126
2025,01,03,9,141.2
2025,01,03,10,138
2025,01,03,11,130.52
2025,01,03,12,123.2
2025,01,03,13,113.51
2025,01,03,14,107.6
2025,01,03,15,105.88
2025,01,03,16,110.22
2025,01,03,17,123.2
2025,01,03,18,141.2
2025,01,03,19,149.62
2025,01,03,20,151.25
2025,01,03,21,151.25
2025,01,03,22,149.12
2025,01,03,23,145.58
2025,01,03,24,136.42
2025,01,04,1,112.84
2025,01,04,2,101
2025,01,04,3,95.53
2025,01,04,4,94.33
2025,01,04,5,96.62
2025,01,04,6,102.63
2025,01,04,7,110.89
2025,01,04,8,120.25
2025,01,04,9,128.39
2025,01,04,10,128.41
2025,01,04,11,118.99
2025,01,04,12,99
2025,01,04,13,82.52
2025,01,04,14,82.27
2025,01,04,15,88.22
2025,01,04,16,97.35
2025,01,04,17,119.47
2025,01,04,18,134.63
2025,01,04,19,145
2025,01,04,20,139.73
2025,01,04,21,130.49
2025,01,04,22,123.82
2025,01,04,23,119.23
2025,01,04,24,109.9
2025,01,05,1,101.77
2025,01,05,2,70.5
2025,01,05,3,64.81
2025,01,05,4,46.7
2025,01,05,5,43.87
2025,01,05,6,36.61
2025,01,05,7,34.04
2025,01,05,8,44
2025,01,05,9,51.27
2025,01,05,10,50
2025,01,05,11,49.81
2025,01,05,12,43.05
2025,01,05,13,45.74
2025,01,05,14,35.19
2025,01,05,15,30
2025,01,05,16,28
2025,01,05,17,35.22
2025,01,05,18,57.72
2025,01,05,19,64.81
2025,01,05,20,64.81
2025,01,05,21,65.2
2025,01,05,22,68.5
2025,01,05,23,60
2025,01,05,24,43.01
2025,01,06,1,13.28
2025,01,06,2,8.35
2025,01,06,3,5.23
2025,01,06,4,3.52
2025,01,06,5,3.52
2025,01,06,6,5.61
2025,01,06,7,11.27
2025,01,06,8,37
2025,01,06,9,58.15
2025,01,06,10,51.15
2025,01,06,11,69.88
2025,01,06,12,32.83
2025,01,06,13,31.28
2025,01,06,14,22.99
2025,01,06,15,14
2025,01,06,16,22.99
2025,01,06,17,38.49
2025,01,06,18,79.9
2025,01,06,19,91.4
2025,01,06,20,110
2025,01,06,21,116.2
2025,01,06,22,117.78
2025,01,06,23,105.93
2025,01,06,24,90
2025,01,07,1,97.28
2025,01,07,2,72.3
2025,01,07,3,67.41
2025,01,07,4,38.41
2025,01,07,5,19.2
2025,01,07,6,38.7
2025,01,07,7,60.08
2025,01,07,8,97.56
2025,01,07,9,115
2025,01,07,10,105.18
2025,01,07,11,93.49
2025,01,07,12,74.93
2025,01,07,13,71.25
2025,01,07,14,71.62
2025,01,07,15,72.57
2025,01,07,16,85
2025,01,07,17,100.64
2025,01,07,18,118.34
2025,01,07,19,128.87
2025,01,07,20,125
2025,01,07,21,113.97
2025,01,07,22,110.76
2025,01,07,23,98.53
2025,01,07,24,89.27
2025,01,08,1,74.23
2025,01,08,2,69.5
2025,01,08,3,59.97
2025,01,08,4,53
2025,01,08,5,59.52
2025,01,08,6,70.2
2025,01,08,7,97.41
2025,01,08,8,124.39
2025,01,08,9,130.49
2025,01,08,10,130.01
2025,01,08,11,108.8
2025,01,08,12,104.46
2025,01,08,13,97.57
2025,01,08,14,90.79
2025,01,08,15,88.81
2025,01,08,16,90.01
2025,01,08,17,105.48
2025,01,08,18,113.75
2025,01,08,19,122
2025,01,08,20,131
2025,01,08,21,124.81
2025,01,08,22,112.66
2025,01,08,23,111.9
2025,01,08,24,98.77
2025,01,09,1,60.38
2025,01,09,2,49.9
2025,01,09,3,40.52
2025,01,09,4,25.61
2025,01,09,5,13.01
2025,01,09,6,30.29
2025,01,09,7,60.08
2025,01,09,8,90.79
2025,01,09,9,100.99
2025,01,09,10,102.44
2025,01,09,11,97.45
2025,01,09,12,90.41
2025,01,09,13,88.34
2025,01,09,14,79.9
2025,01,09,15,79.05
2025,01,09,16,85.09
2025,01,09,17,109.4
2025,01,09,18,131.62
2025,01,09,19,135.73
2025,01,09,20,135.01
2025,01,09,21,141.27
2025,01,09,22,135.01
2025,01,09,23,114.38
2025,01,09,24,101
2025,01,10,1,100
2025,01,10,2,81.88
2025,01,10,3,77
2025,01,10,4,69.94
2025,01,10,5,70.07
2025,01,10,6,85.06
2025,01,10,7,101.8
2025,01,10,8,126.12
2025,01,10,9,140.33
2025,01,10,10,137.22
2025,01,10,11,123.57
2025,01,10,12,113.59
2025,01,10,13,107.43
2025,01,10,14,105.01
2025,01,10,15,108.18
2025,01,10,16,111.61
2025,01,10,17,118.76
2025,01,10,18,132.58
2025,01,10,19,144.28
2025,01,10,20,141.27
2025,01,10,21,134.83
2025,01,10,22,122.51
2025,01,10,23,119.79
2025,01,10,24,112
2025,01,11,1,112
2025,01,11,2,100.61
2025,01,11,3,96.32
2025,01,11,4,84.49
2025,01,11,5,79.78
2025,01,11,6,84.1
2025,01,11,7,95.46
2025,01,11,8,84.9
2025,01,11,9,97
2025,01,11,10,105.53
2025,01,11,11,109.71
2025,01,11,12,87.14
2025,01,11,13,78.78
2025,01,11,14,70
2025,01,11,15,64.75
2025,01,11,16,60.3
2025,01,11,17,78.91
2025,01,11,18,113.3
2025,01,11,19,118.87
2025,01,11,20,123.55
2025,01,11,21,119.95
2025,01,11,22,116.2
2025,01,11,23,113.27
2025,01,11,24,106.1
2025,01,12,1,110.36
2025,01,12,2,97.57
2025,01,12,3,90
2025,01,12,4,85.91
2025,01,12,5,85
2025,01,12,6,85.2
2025,01,12,7,85.65
2025,01,12,8,79.63
2025,01,12,9,85.2
2025,01,12,10,77.24
2025,01,12,11,40
2025,01,12,12,12.17
2025,01,12,13,3.6
2025,01,12,14,6.01
2025,01,12,15,4.31
2025,01,12,16,3.01
2025,01,12,17,10.96
2025,01,12,18,89.07
2025,01,12,19,116.28
2025,01,12,20,126.8
2025,01,12,21,124
2025,01,12,22,123.67
2025,01,12,23,116.73
2025,01,12,24,114.9
2025,01,13,1,112.39
2025,01,13,2,105.07
2025,01,13,3,104.46
2025,01,13,4,100.37
2025,01,13,5,100
2025,01,13,6,109.13
2025,01,13,7,127.14
2025,01,13,8,141.29
2025,01,13,9,180
2025,01,13,10,145.67
2025,01,13,11,128.38
2025,01,13,12,111.92
2025,01,13,13,105.22
2025,01,13,14,100.81
2025,01,13,15,104.91
2025,01,13,16,110.72
2025,01,13,17,126.64
2025,01,13,18,145.37
2025,01,13,19,157.07
2025,01,13,20,158.39
2025,01,13,21,146.39
2025,01,13,22,143.02
2025,01,13,23,135.01
2025,01,13,24,120.1
2025,01,14,1,122.19
2025,01,14,2,117.67
2025,01,14,3,114.53
2025,01,14,4,112.2
2025,01,14,5,112.2
2025,01,14,6,114.34
2025,01,14,7,138.52
2025,01,14,8,156
2025,01,14,9,157.41
2025,01,14,10,152.47
2025,01,14,11,133.76
2025,01,14,12,114.53
2025,01,14,13,112.37
2025,01,14,14,111.63
2025,01,14,15,114.53
2025,01,14,16,115.03
2025,01,14,17,132.53
2025,01,14,18,160.87
2025,01,14,19,188.31
2025,01,14,20,189.54
2025,01,14,21,165.57
2025,01,14,22,159.39
2025,01,14,23,148.68
2025,01,14,24,141.98
2025,01,15,1,132.4
2025,01,15,2,122.4
2025,01,15,3,118.6
2025,01,15,4,118.42
2025,01,15,5,118.13
2025,01,15,6,118.13
2025,01,15,7,135.56
2025,01,15,8,167.32
2025,01,15,9,225
2025,01,15,10,160
2025,01,15,11,138.92
2025,01,15,12,132.7
2025,01,15,13,126
2025,01,15,14,122.4
2025,01,15,15,115.58
2025,01,15,16,117.81
2025,01,15,17,135
2025,01,15,18,143.2
2025,01,15,19,167.32
2025,01,15,20,178.97
2025,01,15,21,168.78
2025,01,15,22,150.97
2025,01,15,23,138.77
2025,01,15,24,123.9
2025,01,16,1,124.33
2025,01,16,2,118.41
2025,01,16,3,114
2025,01,16,4,108.58
2025,01,16,5,108.59
2025,01,16,6,118.1
2025,01,16,7,130.8
2025,01,16,8,148.04
2025,01,16,9,175.72
2025,01,16,10,155.11
2025,01,16,11,129.9
2025,01,16,12,114
2025,01,16,13,116
2025,01,16,14,120.5
2025,01,16,15,115.14
2025,01,16,16,119.64
2025,01,16,17,120.34
2025,01,16,18,148.04
2025,01,16,19,184.32
2025,01,16,20,179.97
2025,01,16,21,159.6
2025,01,16,22,148.33
2025,01,16,23,136.02
2025,01,16,24,124.44
2025,01,17,1,124.83
2025,01,17,2,121.32
2025,01,17,3,118.2
2025,01,17,4,117.49
2025,01,17,5,117.26
2025,01,17,6,119.99
2025,01,17,7,137.1
2025,01,17,8,150.84
2025,01,17,9,161.32
2025,01,17,10,155.1
2025,01,17,11,129.87
2025,01,17,12,116.44
2025,01,17,13,115.2
2025,01,17,14,108.5
2025,01,17,15,106.5
2025,01,17,16,115
2025,01,17,17,118.38
2025,01,17,18,145.12
2025,01,17,19,175
2025,01,17,20,174.22
2025,01,17,21,157.91
2025,01,17,22,153.27
2025,01,17,23,153.27
2025,01,17,24,137.34
2025,01,18,1,135.56
2025,01,18,2,130.01
2025,01,18,3,129.73
2025,01,18,4,124.9
2025,01,18,5,117
2025,01,18,6,119.78
2025,01,18,7,120
2025,01,18,8,133.8
2025,01,18,9,145.69
2025,01,18,10,144.1
2025,01,18,11,131.7
2025,01,18,12,110.2
2025,01,18,13,113.97
2025,01,18,14,114.17
2025,01,18,15,114.17
2025,01,18,16,113.97
2025,01,18,17,120.9
2025,01,18,18,145.65
2025,01,18,19,167.57
2025,01,18,20,167.85
2025,01,18,21,156.12
2025,01,18,22,149.61
2025,01,18,23,147.25
2025,01,18,24,142.19
2025,01,19,1,134.46
2025,01,19,2,125.51
2025,01,19,3,123.17
2025,01,19,4,121.24
2025,01,19,5,120.18
2025,01,19,6,120
2025,01,19,7,121.59
2025,01,19,8,123.47
2025,01,19,9,123.61
2025,01,19,10,125.33
2025,01,19,11,103
2025,01,19,12,102.35
2025,01,19,13,103
2025,01,19,14,105.1
2025,01,19,15,105.5
2025,01,19,16,108.53
2025,01,19,17,115.79
2025,01,19,18,140
2025,01,19,19,151.47
2025,01,19,20,157.33
2025,01,19,21,151.47
2025,01,19,22,150.86
2025,01,19,23,138.43
2025,01,19,24,123.12
2025,01,20,1,122.3
2025,01,20,2,119.5
2025,01,20,3,116.57
2025,01,20,4,114.41
2025,01,20,5,115.45
2025,01,20,6,116.1
2025,01,20,7,137.33
2025,01,20,8,151.06
2025,01,20,9,154.06
2025,01,20,10,154.15
2025,01,20,11,153.1
2025,01,20,12,154.73
2025,01,20,13,155
2025,01,20,14,155
2025,01,20,15,155.01
2025,01,20,16,155.13
2025,01,20,17,153.58
2025,01,20,18,153.34
2025,01,20,19,154.93
2025,01,20,20,159.15
2025,01,20,21,165.6
2025,01,20,22,170
2025,01,20,23,153.58
2025,01,20,24,139
