Year,Month,Day,Hour,Value
2020,12,31,24,52.26
2021,01,01,1,50.87
2021,01,01,2,48.19
2021,01,01,3,44.68
2021,01,01,4,38.5
2021,01,01,5,36.8
2021,01,01,6,36.55
2021,01,01,7,36.6
2021,01,01,8,36.55
2021,01,01,9,36.55
2021,01,01,10,36.55
2021,01,01,11,37.55
2021,01,01,12,37.55
2021,01,01,13,37.55
2021,01,01,14,37.55
2021,01,01,15,36.6
2021,01,01,16,35.5
2021,01,01,17,36
2021,01,01,18,38.5
2021,01,01,19,52.01
2021,01,01,20,55.16
2021,01,01,21,57.4
2021,01,01,22,53.86
2021,01,01,23,53.45
2021,01,01,24,49.72
2021,01,02,1,46.69
2021,01,02,2,42.43
2021,01,02,3,40.1
2021,01,02,4,39.11
2021,01,02,5,37.55
2021,01,02,6,37.7
2021,01,02,7,39.6
2021,01,02,8,43.34
2021,01,02,9,48.45
2021,01,02,10,51.6
2021,01,02,11,52
2021,01,02,12,51.25
2021,01,02,13,50.56
2021,01,02,14,50.57
2021,01,02,15,50.57
2021,01,02,16,48.45
2021,01,02,17,50.25
2021,01,02,18,54.23
2021,01,02,19,58.65
2021,01,02,20,60.43
2021,01,02,21,60.03
2021,01,02,22,55.03
2021,01,02,23,52.25
2021,01,02,24,48.45
2021,01,03,1,46.11
2021,01,03,2,43
2021,01,03,3,39.55
2021,01,03,4,37.45
2021,01,03,5,37.45
2021,01,03,6,37.45
2021,01,03,7,37.45
2021,01,03,8,37.45
2021,01,03,9,38.92
2021,01,03,10,44.49
2021,01,03,11,49
2021,01,03,12,50.3
2021,01,03,13,48
2021,01,03,14,46.64
2021,01,03,15,44.01
2021,01,03,16,41.27
2021,01,03,17,49.92
2021,01,03,18,55.16
2021,01,03,19,59.29
2021,01,03,20,61.09
2021,01,03,21,60
2021,01,03,22,59.4
2021,01,03,23,55.36
2021,01,03,24,53.06
2021,01,04,1,50.23
2021,01,04,2,47.01
2021,01,04,3,43.79
2021,01,04,4,41.65
2021,01,04,5,41.62
2021,01,04,6,44.5
2021,01,04,7,56
2021,01,04,8,62
2021,01,04,9,64.84
2021,01,04,10,68.25
2021,01,04,11,65.97
2021,01,04,12,63.93
2021,01,04,13,63.94
2021,01,04,14,63.94
2021,01,04,15,61.97
2021,01,04,16,62.45
2021,01,04,17,63.9
2021,01,04,18,67.02
2021,01,04,19,71.05
2021,01,04,20,72.6
2021,01,04,21,70
2021,01,04,22,66
2021,01,04,23,62.48
2021,01,04,24,61.25
2021,01,05,1,64.68
2021,01,05,2,56.25
2021,01,05,3,51.86
2021,01,05,4,50.91
2021,01,05,5,50.56
2021,01,05,6,51.25
2021,01,05,7,58.45
2021,01,05,8,68.3
2021,01,05,9,70.41
2021,01,05,10,75
2021,01,05,11,73.48
2021,01,05,12,72.31
2021,01,05,13,71.35
2021,01,05,14,72.52
2021,01,05,15,69.75
2021,01,05,16,68.29
2021,01,05,17,69.75
2021,01,05,18,71.9
2021,01,05,19,80
2021,01,05,20,80
2021,01,05,21,75.99
2021,01,05,22,75.39
2021,01,05,23,72.69
2021,01,05,24,70
2021,01,06,1,69.02
2021,01,06,2,67.54
2021,01,06,3,60.39
2021,01,06,4,55.75
2021,01,06,5,55.16
2021,01,06,6,53.51
2021,01,06,7,55.18
2021,01,06,8,67.61
2021,01,06,9,70
2021,01,06,10,73.54
2021,01,06,11,75.95
2021,01,06,12,77.18
2021,01,06,13,77.01
2021,01,06,14,73.79
2021,01,06,15,73.02
2021,01,06,16,70.89
2021,01,06,17,72.85
2021,01,06,18,78
2021,01,06,19,83.35
2021,01,06,20,90
2021,01,06,21,79.6
2021,01,06,22,75.4
2021,01,06,23,72.1
2021,01,06,24,67.54
2021,01,07,1,77
2021,01,07,2,65.85
2021,01,07,3,63.78
2021,01,07,4,59.31
2021,01,07,5,58
2021,01,07,6,60.65
2021,01,07,7,65
2021,01,07,8,83.98
2021,01,07,9,95.02
2021,01,07,10,99
2021,01,07,11,100
2021,01,07,12,100
2021,01,07,13,100
2021,01,07,14,100
2021,01,07,15,100
2021,01,07,16,99.85
2021,01,07,17,97.85
2021,01,07,18,100
2021,01,07,19,106.95
2021,01,07,20,108.97
2021,01,07,21,101.85
2021,01,07,22,101.17
2021,01,07,23,100
2021,01,07,24,90
2021,01,08,1,95.98
2021,01,08,2,77.93
2021,01,08,3,69.55
2021,01,08,4,65
2021,01,08,5,60
2021,01,08,6,61.1
2021,01,08,7,69.51
2021,01,08,8,86.93
2021,01,08,9,103.54
2021,01,08,10,110.45
2021,01,08,11,110
2021,01,08,12,110.45
2021,01,08,13,110
2021,01,08,14,110
2021,01,08,15,107.75
2021,01,08,16,100.98
2021,01,08,17,100.36
2021,01,08,18,110
2021,01,08,19,113.37
2021,01,08,20,114.89
2021,01,08,21,110
2021,01,08,22,110
2021,01,08,23,97.45
2021,01,08,24,74.49
2021,01,09,1,70.55
2021,01,09,2,71.53
2021,01,09,3,69.25
2021,01,09,4,68.55
2021,01,09,5,51.69
2021,01,09,6,59
2021,01,09,7,51.39
2021,01,09,8,70.51
2021,01,09,9,70.4
2021,01,09,10,72.03
2021,01,09,11,92.01
2021,01,09,12,95.98
2021,01,09,13,75.02
2021,01,09,14,75.03
2021,01,09,15,76.64
2021,01,09,16,72.85
2021,01,09,17,75.5
2021,01,09,18,100
2021,01,09,19,114.89
2021,01,09,20,120
2021,01,09,21,121.24
2021,01,09,22,120.69
2021,01,09,23,115
2021,01,09,24,101.41
2021,01,10,1,62.28
2021,01,10,2,60.8
2021,01,10,3,59
2021,01,10,4,50.9
2021,01,10,5,48.45
2021,01,10,6,49.07
2021,01,10,7,50.87
2021,01,10,8,54.96
2021,01,10,9,59.65
2021,01,10,10,60.8
2021,01,10,11,66.85
2021,01,10,12,70.35
2021,01,10,13,70.35
2021,01,10,14,70.35
2021,01,10,15,70.35
2021,01,10,16,64.55
2021,01,10,17,66.85
2021,01,10,18,66.85
2021,01,10,19,95
2021,01,10,20,107.75
2021,01,10,21,110.29
2021,01,10,22,110
2021,01,10,23,100.36
2021,01,10,24,67.78
2021,01,11,1,58.25
2021,01,11,2,53.19
2021,01,11,3,50.87
2021,01,11,4,47.69
2021,01,11,5,46.36
2021,01,11,6,52.3
2021,01,11,7,62.51
2021,01,11,8,77.9
2021,01,11,9,95.98
2021,01,11,10,98.42
2021,01,11,11,95.98
2021,01,11,12,83.35
2021,01,11,13,80
2021,01,11,14,80.98
2021,01,11,15,77.75
2021,01,11,16,75.02
2021,01,11,17,83.35
2021,01,11,18,98.13
2021,01,11,19,109.37
2021,01,11,20,120
2021,01,11,21,121.14
2021,01,11,22,120
2021,01,11,23,105
2021,01,11,24,85.26
2021,01,12,1,75.32
2021,01,12,2,62.5
2021,01,12,3,56.5
2021,01,12,4,55.68
2021,01,12,5,55.18
2021,01,12,6,56.01
2021,01,12,7,66.64
2021,01,12,8,84.05
2021,01,12,9,98.42
2021,01,12,10,103.04
2021,01,12,11,100.69
2021,01,12,12,98.13
2021,01,12,13,94.05
2021,01,12,14,94.05
2021,01,12,15,88.61
2021,01,12,16,74.37
2021,01,12,17,75.03
2021,01,12,18,88.05
2021,01,12,19,102.05
2021,01,12,20,110.89
2021,01,12,21,114.02
2021,01,12,22,107.99
2021,01,12,23,97.59
2021,01,12,24,94.05
2021,01,13,1,97.59
2021,01,13,2,72.5
2021,01,13,3,65
2021,01,13,4,63
2021,01,13,5,61.35
2021,01,13,6,64.85
2021,01,13,7,74.01
2021,01,13,8,89
2021,01,13,9,97.48
2021,01,13,10,99
2021,01,13,11,98.37
2021,01,13,12,97.84
2021,01,13,13,97.12
2021,01,13,14,97.12
2021,01,13,15,97.48
2021,01,13,16,97.12
2021,01,13,17,98.37
2021,01,13,18,100.44
2021,01,13,19,102.03
2021,01,13,20,109.42
2021,01,13,21,112.84
2021,01,13,22,103.75
2021,01,13,23,100.44
2021,01,13,24,97.85
2021,01,14,1,95
2021,01,14,2,70.35
2021,01,14,3,67.65
2021,01,14,4,62.15
2021,01,14,5,60
2021,01,14,6,60.39
2021,01,14,7,67.65
2021,01,14,8,83.22
2021,01,14,9,95
2021,01,14,10,98.13
2021,01,14,11,97
2021,01,14,12,95
2021,01,14,13,88.75
2021,01,14,14,88.31
2021,01,14,15,88.75
2021,01,14,16,82.87
2021,01,14,17,88.75
2021,01,14,18,95.98
2021,01,14,19,100.17
2021,01,14,20,103.68
2021,01,14,21,107.72
2021,01,14,22,102.89
2021,01,14,23,99.05
2021,01,14,24,95.59
2021,01,15,1,68.85
2021,01,15,2,63.68
2021,01,15,3,61.5
2021,01,15,4,60.33
2021,01,15,5,61.73
2021,01,15,6,61.73
2021,01,15,7,62.97
2021,01,15,8,77.94
2021,01,15,9,90.04
2021,01,15,10,97.76
2021,01,15,11,90.69
2021,01,15,12,86.97
2021,01,15,13,79.25
2021,01,15,14,76.64
2021,01,15,15,77.14
2021,01,15,16,76.98
2021,01,15,17,82
2021,01,15,18,88.22
2021,01,15,19,98.02
2021,01,15,20,96.01
2021,01,15,21,98.02
2021,01,15,22,94.29
2021,01,15,23,84.12
2021,01,15,24,79
2021,01,16,1,64.37
2021,01,16,2,60
2021,01,16,3,55.1
2021,01,16,4,54.65
2021,01,16,5,54.65
2021,01,16,6,54.65
2021,01,16,7,54.65
2021,01,16,8,54.65
2021,01,16,9,61.96
2021,01,16,10,66.69
2021,01,16,11,70.09
2021,01,16,12,69.05
2021,01,16,13,68.05
2021,01,16,14,66.69
2021,01,16,15,67.54
2021,01,16,16,65.5
2021,01,16,17,66.69
2021,01,16,18,70.09
2021,01,16,19,83.94
2021,01,16,20,88.82
2021,01,16,21,93.79
2021,01,16,22,89.03
2021,01,16,23,83.67
2021,01,16,24,70.24
2021,01,17,1,66.05
2021,01,17,2,60
2021,01,17,3,55.25
2021,01,17,4,55
2021,01,17,5,54.99
2021,01,17,6,54.99
2021,01,17,7,54.99
2021,01,17,8,55.25
2021,01,17,9,55.68
2021,01,17,10,59.69
2021,01,17,11,61.17
2021,01,17,12,62.4
2021,01,17,13,63.45
2021,01,17,14,61.75
2021,01,17,15,61.69
2021,01,17,16,56.75
