Year,Month,Day,Hour,Value
2023,12,31,24,71.96
2024,01,01,1,63.33
2024,01,01,2,50.09
2024,01,01,3,47.5
2024,01,01,4,43.5
2024,01,01,5,42.5
2024,01,01,6,42.09
2024,01,01,7,42.5
2024,01,01,8,42.59
2024,01,01,9,43.37
2024,01,01,10,42.29
2024,01,01,11,35.61
2024,01,01,12,29.8
2024,01,01,13,3.2
2024,01,01,14,2.06
2024,01,01,15,1.73
2024,01,01,16,5.72
2024,01,01,17,18.49
2024,01,01,18,37
2024,01,01,19,47.5
2024,01,01,20,54.97
2024,01,01,21,60.9
2024,01,01,22,60
2024,01,01,23,47.5
2024,01,01,24,42.09
2024,01,02,1,37.8
2024,01,02,2,25.61
2024,01,02,3,20.61
2024,01,02,4,14.54
2024,01,02,5,13.21
2024,01,02,6,14.54
2024,01,02,7,36.29
2024,01,02,8,44.7
2024,01,02,9,53.78
2024,01,02,10,54.23
2024,01,02,11,50
2024,01,02,12,52.2
2024,01,02,13,45
2024,01,02,14,43
2024,01,02,15,43
2024,01,02,16,40.99
2024,01,02,17,43.66
2024,01,02,18,52.2
2024,01,02,19,57.77
2024,01,02,20,62.45
2024,01,02,21,58
2024,01,02,22,52.83
2024,01,02,23,46.26
2024,01,02,24,40.1
2024,01,03,1,6.8
2024,01,03,2,3.2
2024,01,03,3,3.2
2024,01,03,4,3.2
2024,01,03,5,3.2
2024,01,03,6,2.21
2024,01,03,7,4.78
2024,01,03,8,45.42
2024,01,03,9,61.92
2024,01,03,10,67
2024,01,03,11,63.6
2024,01,03,12,58.5
2024,01,03,13,63.6
2024,01,03,14,63.35
2024,01,03,15,63.6
2024,01,03,16,66.03
2024,01,03,17,67.52
2024,01,03,18,89.57
2024,01,03,19,94.2
2024,01,03,20,104.35
2024,01,03,21,113.26
2024,01,03,22,113.26
2024,01,03,23,94.2
2024,01,03,24,86.58
2024,01,04,1,90.39
2024,01,04,2,87
2024,01,04,3,80.21
2024,01,04,4,70.1
2024,01,04,5,66.86
2024,01,04,6,68.14
2024,01,04,7,86.74
2024,01,04,8,94.51
2024,01,04,9,96
2024,01,04,10,98.13
2024,01,04,11,95
2024,01,04,12,90.35
2024,01,04,13,89
2024,01,04,14,85.96
2024,01,04,15,92.11
2024,01,04,16,98.62
2024,01,04,17,99.5
2024,01,04,18,100
2024,01,04,19,102.57
2024,01,04,20,104
2024,01,04,21,105.18
2024,01,04,22,102.42
2024,01,04,23,99.41
2024,01,04,24,90.39
2024,01,05,1,86.08
2024,01,05,2,80.51
2024,01,05,3,77.01
2024,01,05,4,70.67
2024,01,05,5,61.1
2024,01,05,6,68.26
2024,01,05,7,75
2024,01,05,8,86.39
2024,01,05,9,90.88
2024,01,05,10,90
2024,01,05,11,76.47
2024,01,05,12,57.68
2024,01,05,13,45.87
2024,01,05,14,44.07
2024,01,05,15,40
2024,01,05,16,37.83
2024,01,05,17,44.37
2024,01,05,18,67
2024,01,05,19,75.47
2024,01,05,20,78.19
2024,01,05,21,79.94
2024,01,05,22,78.26
2024,01,05,23,75
2024,01,05,24,68
2024,01,06,1,52.5
2024,01,06,2,45
2024,01,06,3,44.2
2024,01,06,4,43.5
2024,01,06,5,23.99
2024,01,06,6,23.99
2024,01,06,7,30.51
2024,01,06,8,44.4
2024,01,06,9,45.8
2024,01,06,10,45
2024,01,06,11,25
2024,01,06,12,4
2024,01,06,13,3.2
2024,01,06,14,3.2
2024,01,06,15,3.2
2024,01,06,16,3.2
2024,01,06,17,25
2024,01,06,18,65
2024,01,06,19,85.96
2024,01,06,20,92.05
2024,01,06,21,92.14
2024,01,06,22,88
2024,01,06,23,86.57
2024,01,06,24,79.87
2024,01,07,1,84.08
2024,01,07,2,79.82
2024,01,07,3,76.76
2024,01,07,4,73.46
2024,01,07,5,71.86
2024,01,07,6,72.08
2024,01,07,7,74.9
2024,01,07,8,77.69
2024,01,07,9,81.79
2024,01,07,10,84.86
2024,01,07,11,61
2024,01,07,12,55.87
2024,01,07,13,50.6
2024,01,07,14,51.77
2024,01,07,15,49.98
2024,01,07,16,45.57
2024,01,07,17,60
2024,01,07,18,92.05
2024,01,07,19,104.85
2024,01,07,20,103.55
2024,01,07,21,100.5
2024,01,07,22,95.89
2024,01,07,23,91.17
2024,01,07,24,83.86
2024,01,08,1,90.35
2024,01,08,2,89.8
2024,01,08,3,88.2
2024,01,08,4,78.79
