Year,Month,Day,Hour,Value
2018,01,09,24,62.31
2018,01,10,1,61.58
2018,01,10,2,51
2018,01,10,3,49
2018,01,10,4,47.29
2018,01,10,5,47.09
2018,01,10,6,46.99
2018,01,10,7,50.06
2018,01,10,8,61.58
2018,01,10,9,66.97
2018,01,10,10,67.45
2018,01,10,11,65.73
2018,01,10,12,58.68
2018,01,10,13,58.01
2018,01,10,14,49.54
2018,01,10,15,47.1
2018,01,10,16,47.98
2018,01,10,17,48.9
2018,01,10,18,51.9
2018,01,10,19,52.69
2018,01,10,20,55.13
2018,01,10,21,60.3
2018,01,10,22,58.05
2018,01,10,23,46.84
2018,01,10,24,44.22
2018,01,11,1,39.43
2018,01,11,2,37
2018,01,11,3,34.2
2018,01,11,4,33
2018,01,11,5,33.05
2018,01,11,6,37.09
2018,01,11,7,41.5
2018,01,11,8,53.07
2018,01,11,9,57.22
2018,01,11,10,59.02
2018,01,11,11,57.58
2018,01,11,12,57.45
2018,01,11,13,54.61
2018,01,11,14,54.83
2018,01,11,15,54.74
2018,01,11,16,54.01
2018,01,11,17,54.96
2018,01,11,18,57.47
2018,01,11,19,57.83
2018,01,11,20,59.08
2018,01,11,21,63.03
2018,01,11,22,62.55
2018,01,11,23,58.17
2018,01,11,24,57.58
2018,01,12,1,55.57
2018,01,12,2,49
2018,01,12,3,46.15
2018,01,12,4,46.01
2018,01,12,5,46.13
2018,01,12,6,47.29
2018,01,12,7,56
2018,01,12,8,61.97
2018,01,12,9,66.58
2018,01,12,10,66.89
2018,01,12,11,67.19
2018,01,12,12,66.34
2018,01,12,13,63.82
2018,01,12,14,63.86
2018,01,12,15,61.59
2018,01,12,16,61.58
2018,01,12,17,61.59
2018,01,12,18,61.97
2018,01,12,19,66.36
2018,01,12,20,66.89
2018,01,12,21,66.89
2018,01,12,22,66.16
2018,01,12,23,63.57
2018,01,12,24,61.59
2018,01,13,1,56.02
2018,01,13,2,48.14
2018,01,13,3,46.6
2018,01,13,4,46.1
2018,01,13,5,46.2
2018,01,13,6,46.6
2018,01,13,7,47.13
2018,01,13,8,50.05
2018,01,13,9,50.98
2018,01,13,10,58.16
2018,01,13,11,60.76
2018,01,13,12,60.5
2018,01,13,13,59.5
2018,01,13,14,59.07
2018,01,13,15,58.7
2018,01,13,16,55.57
2018,01,13,17,54.99
2018,01,13,18,56.01
2018,01,13,19,61
2018,01,13,20,61.97
2018,01,13,21,63.82
2018,01,13,22,62.11
2018,01,13,23,59.54
2018,01,13,24,58.15
2018,01,14,1,48.7
2018,01,14,2,45.27
2018,01,14,3,43.92
2018,01,14,4,42.1
2018,01,14,5,42.09
2018,01,14,6,42.1
2018,01,14,7,43.92
2018,01,14,8,45.01
2018,01,14,9,45.21
2018,01,14,10,47.66
2018,01,14,11,53.9
2018,01,14,12,54.8
2018,01,14,13,54.8
2018,01,14,14,58.11
2018,01,14,15,58.53
2018,01,14,16,53.9
2018,01,14,17,53.15
2018,01,14,18,54.8
2018,01,14,19,60.82
2018,01,14,20,64.97
2018,01,14,21,67.19
2018,01,14,22,67.92
2018,01,14,23,66.01
2018,01,14,24,61.24
2018,01,15,1,60.82
2018,01,15,2,53.6
2018,01,15,3,47.66
2018,01,15,4,46.14
2018,01,15,5,45.69
2018,01,15,6,47.13
2018,01,15,7,55.55
2018,01,15,8,60.9
2018,01,15,9,64.99
2018,01,15,10,66.01
2018,01,15,11,65.03
2018,01,15,12,62.07
2018,01,15,13,61.01
2018,01,15,14,60.9
2018,01,15,15,58.7
2018,01,15,16,57.83
2018,01,15,17,56
2018,01,15,18,57.83
2018,01,15,19,61.59
2018,01,15,20,64.28
2018,01,15,21,65.23
2018,01,15,22,62.4
2018,01,15,23,58.15
2018,01,15,24,52.32
2018,01,16,1,44.5
2018,01,16,2,43.92
2018,01,16,3,39.47
2018,01,16,4,38.64
2018,01,16,5,39.04
2018,01,16,6,39.1
2018,01,16,7,43.03
2018,01,16,8,51.89
2018,01,16,9,60.82
2018,01,16,10,63.45
2018,01,16,11,61.99
2018,01,16,12,60.32
2018,01,16,13,58.03
2018,01,16,14,56.16
2018,01,16,15,54.5
2018,01,16,16,51.95
2018,01,16,17,49.43
2018,01,16,18,52.1
2018,01,16,19,59.02
2018,01,16,20,61.59
2018,01,16,21,63.45
2018,01,16,22,61.59
2018,01,16,23,52.69
2018,01,16,24,45.27
2018,01,17,1,42.64
2018,01,17,2,40
2018,01,17,3,36.18
2018,01,17,4,35.67
2018,01,17,5,35.45
2018,01,17,6,36.45
2018,01,17,7,41.51
2018,01,17,8,47.94
2018,01,17,9,58.7
2018,01,17,10,61.59
2018,01,17,11,61.59
2018,01,17,12,56.35
2018,01,17,13,54.97
2018,01,17,14,54.97
2018,01,17,15,54.83
2018,01,17,16,54.72
2018,01,17,17,54.73
2018,01,17,18,56.58
2018,01,17,19,61.97
2018,01,17,20,63.8
2018,01,17,21,65.5
2018,01,17,22,65.5
2018,01,17,23,61.1
2018,01,17,24,58.7
2018,01,18,1,59.91
2018,01,18,2,52
2018,01,18,3,47.13
2018,01,18,4,45.65
2018,01,18,5,45.19
2018,01,18,6,45.96
2018,01,18,7,54.97
2018,01,18,8,58.7
2018,01,18,9,60.89
2018,01,18,10,61.59
2018,01,18,11,61.37
2018,01,18,12,60.89
2018,01,18,13,60.07
2018,01,18,14,60.41
2018,01,18,15,59.9
2018,01,18,16,59.86
2018,01,18,17,59.81
2018,01,18,18,59.96
2018,01,18,19,61.2
2018,01,18,20,61.91
2018,01,18,21,62.39
2018,01,18,22,61.6
2018,01,18,23,60.89
2018,01,18,24,60.07
2018,01,19,1,58.69
2018,01,19,2,51.07
2018,01,19,3,47.07
2018,01,19,4,45.27
2018,01,19,5,45.09
2018,01,19,6,45.09
2018,01,19,7,52
2018,01,19,8,59.2
2018,01,19,9,59.89
2018,01,19,10,59.96
2018,01,19,11,59.46
2018,01,19,12,58.7
2018,01,19,13,56.58
2018,01,19,14,55.4
2018,01,19,15,54.83
2018,01,19,16,52.01
2018,01,19,17,52
2018,01,19,18,54.83
2018,01,19,19,58.69
2018,01,19,20,59.86
2018,01,19,21,59.95
2018,01,19,22,59.46
2018,01,19,23,59.06
2018,01,19,24,58.49
2018,01,20,1,58.49
2018,01,20,2,58.99
2018,01,20,3,58.99
2018,01,20,4,58.49
2018,01,20,5,47
2018,01,20,6,46.95
2018,01,20,7,46.95
2018,01,20,8,42.74
2018,01,20,9,41.27
2018,01,20,10,51
2018,01,20,11,58.49
2018,01,20,12,57.8
2018,01,20,13,50.66
2018,01,20,14,58.01
2018,01,20,15,47
2018,01,20,16,44.4
2018,01,20,17,44.2
2018,01,20,18,44.38
2018,01,20,19,49.38
2018,01,20,20,58.09
2018,01,20,21,58.49
2018,01,20,22,57.5
2018,01,20,23,46.05
2018,01,20,24,46.95
2018,01,21,1,44.4
2018,01,21,2,44.4
2018,01,21,3,39.05
2018,01,21,4,38.12
2018,01,21,5,38.1
2018,01,21,6,38.07
