date,hour,class,type,regime,Price_LOW,Price_MED,Price_HIGH,p_mean_pred_eur_mwh,k_anchor,mu_anchor,TomorrowMean_EUR_MWh,LowQuantileUsed,ValleyHours,ValleyMultBase
2025-12-23,0,LAB_INV,LAB,NORMAL,75.80158653420699,94.75198316775874,113.70237980131049,140.55,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-23,1,LAB_INV,LAB,NORMAL,68.65861999891682,85.82327499864603,102.98792999837524,140.55,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-23,2,LAB_INV,LAB,NORMAL,63.44998884259456,79.31248605324319,95.17498326389183,140.55,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-23,3,LAB_INV,LAB,NORMAL,60.39166282690477,75.48957853363096,90.58749424035715,140.55,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-23,4,LAB_INV,LAB,NORMAL,82.92360174738222,103.65450218422777,124.38540262107331,140.55,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-23,5,LAB_INV,LAB,NORMAL,88.33455424051522,110.41819280064401,132.5018313607728,140.55,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-23,6,LAB_INV,LAB,NORMAL,102.90387095375978,128.6298386921997,154.35580643063966,140.55,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-23,7,LAB_INV,LAB,NORMAL,123.68674206898095,154.60842758622618,185.53011310347142,140.55,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-23,8,LAB_INV,LAB,NORMAL,135.13994048975215,168.92492561219018,202.7099107346282,140.55,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-23,9,LAB_INV,LAB,NORMAL,134.61261493385604,168.26576866732003,201.91892240078403,140.55,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-23,10,LAB_INV,LAB,NORMAL,126.40825878570229,158.01032348212786,189.61238817855343,140.55,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-23,11,LAB_INV,LAB,NORMAL,119.0010212038528,148.751276504816,178.5015318057792,140.55,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-23,12,LAB_INV,LAB,NORMAL,115.0186464741279,143.77330809265987,172.52796971119184,140.55,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-23,13,LAB_INV,LAB,NORMAL,112.54715294154096,140.6839411769262,168.82072941231144,140.55,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-23,14,LAB_INV,LAB,NORMAL,109.19329986434512,136.4916248304314,163.78994979651767,140.55,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-23,15,LAB_INV,LAB,NORMAL,108.75286061377892,135.94107576722365,163.12929092066838,140.55,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-23,16,LAB_INV,LAB,NORMAL,114.51547934481535,143.14434918101918,171.773219017223,140.55,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-23,17,LAB_INV,LAB,NORMAL,127.99292846989204,159.99116058736504,191.98939270483805,140.55,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-23,18,LAB_INV,LAB,NORMAL,141.4129039176484,176.7661298970605,212.11935587647258,140.55,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-23,19,LAB_INV,LAB,NORMAL,151.96390207818595,189.95487759773243,227.94585311727892,140.55,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-23,20,LAB_INV,LAB,NORMAL,152.1609501827474,190.20118772843423,228.24142527412107,140.55,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-23,21,LAB_INV,LAB,NORMAL,141.47284633655258,176.8410579206907,212.20926950482882,140.55,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-23,22,LAB_INV,LAB,NORMAL,127.65018337636945,159.56272922046182,191.47527506455418,140.55,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-23,23,LAB_INV,LAB,NORMAL,114.56638377357167,143.2079797169646,171.8495756603575,140.55,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-24,0,LAB_INV,LAB,NORMAL,69.1626934166429,86.45336677080361,103.74404012496433,128.24027839209467,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-24,1,LAB_INV,LAB,NORMAL,62.645325810587906,78.30665726323488,93.96798871588186,128.24027839209467,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-24,2,LAB_INV,LAB,NORMAL,57.89287963820439,72.36609954775548,86.83931945730657,128.24027839209467,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-24,3,LAB_INV,LAB,NORMAL,55.102409487611396,68.87801185951425,82.6536142314171,128.24027839209467,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-24,4,LAB_INV,LAB,NORMAL,75.66094466993583,94.57618083741978,113.49141700490374,128.24027839209467,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-24,5,LAB_INV,LAB,NORMAL,80.5979923688741,100.74749046109262,120.89698855331115,128.24027839209467,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-24,6,LAB_INV,LAB,NORMAL,93.8912917732788,117.3641147165985,140.8369376599182,128.24027839209467,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-24,7,LAB_INV,LAB,NORMAL,112.85394689674368,141.0674336209296,169.2809203451155,128.24027839209467,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-24,8,LAB_INV,LAB,NORMAL,123.30404546636017,154.1300568329502,184.95606819954023,128.24027839209467,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-24,9,LAB_INV,LAB,NORMAL,122.822904405589,153.52863050698625,184.23435660838348,128.24027839209467,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-24,10,LAB_INV,LAB,NORMAL,115.3371063517496,144.171382939687,173.00565952762437,128.24027839209467,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-24,11,LAB_INV,LAB,NORMAL,108.57861322038876,135.72326652548594,162.86791983058313,128.24027839209467,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-24,12,LAB_INV,LAB,NORMAL,104.9450248603634,131.18128107545425,157.41753729054508,128.24027839209467,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-24,13,LAB_INV,LAB,NORMAL,102.68999093177422,128.36248866471777,154.03498639766133,128.24027839209467,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
2025-12-24,14,LAB_INV,LAB,NORMAL,99.62987672113191,124.53734590141488,149.44481508169784,128.24027839209467,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55
