date,hour,class,type,regime,p_mean_pred_eur_mwh,Price_EUR_MWh,k_anchor,mu_anchor,TomorrowMean_EUR_MWh,LowQuantileUsed,ValleyHours,ValleyMultBase,Source
2025-12-24,10,LAB_INV,LAB,NORMAL,128.24027839209467,144.171382939687,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-24,11,LAB_INV,LAB,NORMAL,128.24027839209467,135.72326652548594,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-24,12,LAB_INV,LAB,NORMAL,128.24027839209467,131.18128107545425,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-24,13,LAB_INV,LAB,NORMAL,128.24027839209467,128.36248866471777,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-24,14,LAB_INV,LAB,NORMAL,128.24027839209467,124.53734590141488,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-24,15,LAB_INV,LAB,NORMAL,128.24027839209467,124.03501530636494,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-24,16,LAB_INV,LAB,NORMAL,128.24027839209467,130.60740796320957,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-24,17,LAB_INV,LAB,NORMAL,128.24027839209467,145.97873336177884,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-24,18,LAB_INV,LAB,NORMAL,128.24027839209467,161.28450877475777,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-24,19,LAB_INV,LAB,NORMAL,128.24027839209467,173.31815286424384,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-24,20,LAB_INV,LAB,NORMAL,128.24027839209467,173.54289053576284,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-24,21,LAB_INV,LAB,NORMAL,128.24027839209467,161.3528744141011,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-24,22,LAB_INV,LAB,NORMAL,128.24027839209467,145.5878250888256,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-24,23,LAB_INV,LAB,NORMAL,128.24027839209467,130.66546557718237,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-25,0,DOM_INV,DOM,LOW,84.68434864496747,74.71795315418979,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-25,1,DOM_INV,DOM,LOW,84.68434864496747,68.91980079169174,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-25,2,DOM_INV,DOM,LOW,84.68434864496747,65.45327743121726,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-25,3,DOM_INV,DOM,LOW,84.68434864496747,62.19773895368792,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
